"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"454","ST",84.4,-2.24,53.7,5.72
"455","ST",83,-2.38,53.56,5.76
"456","ST",81.9,-2.23,53.47,5.69
"457","ST",84.6,-2.22,53.63,5.74
"458","ST",82.7,-2.24,53.75,5.76
"459","FF",97.6,-1.97,53.64,5.91
"460","FF",96.4,-1.97,53.42,5.88
"461","ST",85.7,-2.48,53.7,5.62
"462","ST",81.9,-2.24,53.71,5.7
"463","FF",95.2,-2.21,53.37,5.72
"464","FF",94.5,-2.16,53.57,5.61
"465","FF",96,-2.13,53.54,5.56
"466","ST",83.5,-2.41,53.45,5.52
"467","FF",98.5,-2.22,53.49,5.65
"468","FF",96.2,-2.35,53.71,5.58
"469","FF",96.8,-2.21,53.83,5.58
"470","FF",99.6,-1.97,53.74,5.8
"471","FF",97.9,-2.15,53.5,5.67
"472","ST",83.4,-2.4,53.52,5.54
"473","FF",96.6,-2.06,53.42,5.59
"474","FF",97.9,-2.03,53.56,5.64
"475","FF",98,-2.12,53.79,5.73
"476","ST",84,-2.51,53.53,5.36
"477","FF",98.5,-2.01,53.62,5.71
"478","FF",97.7,-1.96,53.48,5.7
"479","FF",97.4,-2.19,53.54,5.62
"480","FF",92.4,-2.15,53.68,5.79
"481","FF",92.8,-2.07,53.42,5.77
"482","FF",92.5,-1.79,53.32,5.92
"483","FF",97.8,-2.25,53.71,5.58
"484","FF",97.6,-2.25,53.4,5.61
"485","FF",97.9,-2.23,53.63,5.61
"486","FF",95.6,-2.04,53.37,5.68
"487","ST",84.4,-2.47,53.56,5.46
"488","FF",98,-2.3,53.59,5.59
"489","ST",85.1,-2.55,53.49,5.45
"490","FF",96.6,-2.25,53.46,5.65
"491","FF",97.9,-2.24,53.63,5.68
"492","ST",84,-2.37,53.67,5.52
"493","FF",97.4,-2.39,53.4,5.52
"494","FF",92.9,-2.11,53.33,5.83
"495","FF",97.4,-2.21,53.31,5.67
"496","FF",98.8,-2.14,53.36,5.68
"497","FF",98,-2.18,53.44,5.74
"498","FF",97.1,-2.22,53.5,5.7
"499","FF",98.3,-2.12,53.47,5.76
